COUNTRY,YEAR,IndicatorCode,NumericValue
ETH,2021,AMR_INFECT_ECOLI,86.21
QAT,2023,AMR_INFECT_ECOLI,46.72
THA,2016,AMR_INFECT_ECOLI,40.29
GHA,2023,AMR_INFECT_ECOLI,90.63
ARE,2020,AMR_INFECT_ECOLI,54.08
TUR,2023,AMR_INFECT_ECOLI,56.42
GLOBAL,2016,AMR_INFECT_ECOLI,35.8
QAT,2020,AMR_INFECT_ECOLI,40.0
BGD,2018,AMR_INFECT_ECOLI,70.0
LTU,2019,AMR_INFECT_ECOLI,17.53
NPL,2023,AMR_INFECT_ECOLI,77.42
IRL,2019,AMR_INFECT_ECOLI,12.53
TUR,2022,AMR_INFECT_ECOLI,52.18
ZAF,2022,AMR_INFECT_ECOLI,30.04
BGD,2023,AMR_INFECT_ECOLI,79.17
OMN,2018,AMR_INFECT_ECOLI,52.28
MLT,2017,AMR_INFECT_ECOLI,15.89
DEU,2021,AMR_INFECT_ECOLI,8.96
KOR,2021,AMR_INFECT_ECOLI,36.63
TLS,2023,AMR_INFECT_ECOLI,30.43
BHR,2021,AMR_INFECT_ECOLI,57.81
JPN,2023,AMR_INFECT_ECOLI,20.26
SAU,2019,AMR_INFECT_ECOLI,57.26
UKR,2022,AMR_INFECT_ECOLI,54.55
GEO,2023,AMR_INFECT_ECOLI,43.59
AUS,2023,AMR_INFECT_ECOLI,12.4
LTU,2018,AMR_INFECT_ECOLI,15.33
GEO,2019,AMR_INFECT_ECOLI,56.58
FIN,2020,AMR_INFECT_ECOLI,6.62
MMR,2020,AMR_INFECT_ECOLI,80.56
SWE,2019,AMR_INFECT_ECOLI,7.62
MAR,2022,AMR_INFECT_ECOLI,46.07
HRV,2018,AMR_INFECT_ECOLI,14.8
JPN,2016,AMR_INFECT_ECOLI,18.94
IDN,2022,AMR_INFECT_ECOLI,69.73
JOR,2023,AMR_INFECT_ECOLI,67.05
MYS,2020,AMR_INFECT_ECOLI,25.79
IRQ,2021,AMR_INFECT_ECOLI,85.51
BIH,2023,AMR_INFECT_ECOLI,22.29
ITA,2021,AMR_INFECT_ECOLI,24.6
ITA,2020,AMR_INFECT_ECOLI,28.66
LKA,2019,AMR_INFECT_ECOLI,63.0
BHR,2017,AMR_INFECT_ECOLI,50.0
AUS,2021,AMR_INFECT_ECOLI,12.46
EGY,2022,AMR_INFECT_ECOLI,87.5
FRA,2022,AMR_INFECT_ECOLI,9.13
LBN,2019,AMR_INFECT_ECOLI,55.33
BRN,2021,AMR_INFECT_ECOLI,12.58
ZMB,2022,AMR_INFECT_ECOLI,76.47
CYP,2018,AMR_INFECT_ECOLI,37.1
JPN,2022,AMR_INFECT_ECOLI,20.39
MKD,2021,AMR_INFECT_ECOLI,51.22
PHL,2017,AMR_INFECT_ECOLI,39.56
IRQ,2022,AMR_INFECT_ECOLI,85.71
MDV,2018,AMR_INFECT_ECOLI,62.96
LVA,2019,AMR_INFECT_ECOLI,18.08
FIN,2023,AMR_INFECT_ECOLI,8.7
BEN,2022,AMR_INFECT_ECOLI,73.08
TUN,2017,AMR_INFECT_ECOLI,35.9
SWE,2020,AMR_INFECT_ECOLI,7.68
CIV,2023,AMR_INFECT_ECOLI,75.0
LVA,2020,AMR_INFECT_ECOLI,33.33
PER,2023,AMR_INFECT_ECOLI,63.43
CHE,2020,AMR_INFECT_ECOLI,11.09
CZE,2021,AMR_INFECT_ECOLI,14.31
DEU,2017,AMR_INFECT_ECOLI,12.28
LKA,2020,AMR_INFECT_ECOLI,61.92
LVA,2017,AMR_INFECT_ECOLI,18.02
BRN,2019,AMR_INFECT_ECOLI,17.24
TUR,2021,AMR_INFECT_ECOLI,53.77
FIN,2016,AMR_INFECT_ECOLI,6.66
MYS,2017,AMR_INFECT_ECOLI,27.37
LUX,2022,AMR_INFECT_ECOLI,10.87
NOR,2018,AMR_INFECT_ECOLI,6.75
TLS,2021,AMR_INFECT_ECOLI,53.85
MKD,2018,AMR_INFECT_ECOLI,79.25
UGA,2022,AMR_INFECT_ECOLI,81.82
KOR,2022,AMR_INFECT_ECOLI,38.84
XKX,2021,AMR_INFECT_ECOLI,60.0
EGY,2020,AMR_INFECT_ECOLI,89.58
GRC,2018,AMR_INFECT_ECOLI,19.33
ARE,2018,AMR_INFECT_ECOLI,48.43
BRN,2020,AMR_INFECT_ECOLI,17.3
MYS,2023,AMR_INFECT_ECOLI,27.17
NAM,2023,AMR_INFECT_ECOLI,37.5
SGP,2023,AMR_INFECT_ECOLI,23.76
RWA,2022,AMR_INFECT_ECOLI,48.0
MLI,2020,AMR_INFECT_ECOLI,60.81
XKX,2020,AMR_INFECT_ECOLI,30.0
CHE,2016,AMR_INFECT_ECOLI,9.16
KEN,2021,AMR_INFECT_ECOLI,78.05
IRN,2021,AMR_INFECT_ECOLI,70.25
THA,2021,AMR_INFECT_ECOLI,37.4
MYS,2021,AMR_INFECT_ECOLI,23.97
POL,2018,AMR_INFECT_ECOLI,17.6
IDN,2020,AMR_INFECT_ECOLI,75.63
LUX,2019,AMR_INFECT_ECOLI,15.65
NGA,2017,AMR_INFECT_ECOLI,77.19
RUS,2020,AMR_INFECT_ECOLI,73.17
GRC,2021,AMR_INFECT_ECOLI,21.93
XKX,2023,AMR_INFECT_ECOLI,37.5
TUN,2021,AMR_INFECT_ECOLI,33.6
JOR,2022,AMR_INFECT_ECOLI,57.23
LTU,2016,AMR_INFECT_ECOLI,9.7
IDN,2023,AMR_INFECT_ECOLI,71.93
PSE,2023,AMR_INFECT_ECOLI,45.42
BFA,2022,AMR_INFECT_ECOLI,91.67
KOR,2020,AMR_INFECT_ECOLI,37.66
GHA,2022,AMR_INFECT_ECOLI,90.38
BIH,2020,AMR_INFECT_ECOLI,23.46
MKD,2016,AMR_INFECT_ECOLI,73.44
LVA,2023,AMR_INFECT_ECOLI,22.94
MLT,2023,AMR_INFECT_ECOLI,12.68
KOR,2023,AMR_INFECT_ECOLI,38.92
MLI,2023,AMR_INFECT_ECOLI,45.83
CHE,2021,AMR_INFECT_ECOLI,9.56
IRQ,2020,AMR_INFECT_ECOLI,94.87
BEL,2022,AMR_INFECT_ECOLI,8.9
AUT,2021,AMR_INFECT_ECOLI,8.16
MWI,2021,AMR_INFECT_ECOLI,60.0
PHL,2021,AMR_INFECT_ECOLI,44.03
EST,2021,AMR_INFECT_ECOLI,7.86
PHL,2020,AMR_INFECT_ECOLI,35.62
ARG,2021,AMR_INFECT_ECOLI,19.76
COD,2021,AMR_INFECT_ECOLI,68.97
LAO,2018,AMR_INFECT_ECOLI,45.45
KWT,2022,AMR_INFECT_ECOLI,45.51
TZA,2020,AMR_INFECT_ECOLI,75.0
GBR,2019,AMR_INFECT_ECOLI,11.27
DNK,2023,AMR_INFECT_ECOLI,6.27
PSE,2021,AMR_INFECT_ECOLI,46.23
ZAF,2023,AMR_INFECT_ECOLI,35.43
LAO,2022,AMR_INFECT_ECOLI,52.61
BRA,2018,AMR_INFECT_ECOLI,15.9
KHM,2022,AMR_INFECT_ECOLI,73.51
NLD,2020,AMR_INFECT_ECOLI,6.55
AUS,2019,AMR_INFECT_ECOLI,13.29
GBR,2023,AMR_INFECT_ECOLI,13.23
IND,2023,AMR_INFECT_ECOLI,80.1
BIH,2017,AMR_INFECT_ECOLI,24.9
THA,2019,AMR_INFECT_ECOLI,37.26
THA,2018,AMR_INFECT_ECOLI,36.42
CAN,2022,AMR_INFECT_ECOLI,23.36
FIN,2021,AMR_INFECT_ECOLI,6.32
BGD,2019,AMR_INFECT_ECOLI,93.1
LBN,2017,AMR_INFECT_ECOLI,46.15
EGY,2023,AMR_INFECT_ECOLI,89.41
MKD,2022,AMR_INFECT_ECOLI,60.0
MLT,2022,AMR_INFECT_ECOLI,13.35
MMR,2022,AMR_INFECT_ECOLI,90.91
ITA,2023,AMR_INFECT_ECOLI,29.98
ARG,2020,AMR_INFECT_ECOLI,21.21
EGY,2018,AMR_INFECT_ECOLI,97.87
BHR,2020,AMR_INFECT_ECOLI,59.06
MMR,2023,AMR_INFECT_ECOLI,81.25
ARE,2021,AMR_INFECT_ECOLI,51.67
JPN,2021,AMR_INFECT_ECOLI,20.64
CYP,2023,AMR_INFECT_ECOLI,40.57
GLOBAL,2020,AMR_INFECT_ECOLI,41.8
SGP,2019,AMR_INFECT_ECOLI,28.69
CHE,2017,AMR_INFECT_ECOLI,9.45
MKD,2019,AMR_INFECT_ECOLI,64.29
DNK,2022,AMR_INFECT_ECOLI,7.32
CZE,2017,AMR_INFECT_ECOLI,14.2
BIH,2019,AMR_INFECT_ECOLI,20.34
LBY,2019,AMR_INFECT_ECOLI,58.33
DEU,2018,AMR_INFECT_ECOLI,12.18
MLT,2020,AMR_INFECT_ECOLI,11.91
TUN,2019,AMR_INFECT_ECOLI,36.11
COD,2023,AMR_INFECT_ECOLI,73.08
ZMB,2023,AMR_INFECT_ECOLI,93.55
MDA,2023,AMR_INFECT_ECOLI,64.06
BRN,2023,AMR_INFECT_ECOLI,23.95
GRC,2019,AMR_INFECT_ECOLI,21.73
BIH,2018,AMR_INFECT_ECOLI,20.2
CZE,2022,AMR_INFECT_ECOLI,14.45
FIN,2018,AMR_INFECT_ECOLI,7.59
EGY,2019,AMR_INFECT_ECOLI,87.8
LKA,2018,AMR_INFECT_ECOLI,67.67
NLD,2019,AMR_INFECT_ECOLI,7.22
MLI,2021,AMR_INFECT_ECOLI,46.38
LVA,2018,AMR_INFECT_ECOLI,20.4
BGD,2022,AMR_INFECT_ECOLI,90.0
LBN,2020,AMR_INFECT_ECOLI,56.41
PAK,2018,AMR_INFECT_ECOLI,69.2
UKR,2023,AMR_INFECT_ECOLI,52.94
UGA,2017,AMR_INFECT_ECOLI,46.15
OMN,2020,AMR_INFECT_ECOLI,78.91
QAT,2019,AMR_INFECT_ECOLI,48.92
MDG,2023,AMR_INFECT_ECOLI,45.45
LBN,2018,AMR_INFECT_ECOLI,50.53
ITA,2018,AMR_INFECT_ECOLI,28.7
CMR,2022,AMR_INFECT_ECOLI,96.3
KOR,2016,AMR_INFECT_ECOLI,35.33
MKD,2017,AMR_INFECT_ECOLI,71.05
GRC,2023,AMR_INFECT_ECOLI,22.86
DEU,2019,AMR_INFECT_ECOLI,11.46
JOR,2019,AMR_INFECT_ECOLI,66.67
LAO,2020,AMR_INFECT_ECOLI,50.85
KOR,2019,AMR_INFECT_ECOLI,37.08
BRA,2020,AMR_INFECT_ECOLI,32.46
FIN,2019,AMR_INFECT_ECOLI,7.79
LTU,2017,AMR_INFECT_ECOLI,12.5
GBR,2022,AMR_INFECT_ECOLI,11.41
BEL,2020,AMR_INFECT_ECOLI,10.33
DZA,2023,AMR_INFECT_ECOLI,55.36
MAR,2021,AMR_INFECT_ECOLI,35.87
CMR,2023,AMR_INFECT_ECOLI,73.91
UGA,2023,AMR_INFECT_ECOLI,81.25
IRL,2017,AMR_INFECT_ECOLI,11.98
JPN,2020,AMR_INFECT_ECOLI,20.66
IRN,2018,AMR_INFECT_ECOLI,65.54
SAU,2022,AMR_INFECT_ECOLI,52.83
MOZ,2020,AMR_INFECT_ECOLI,31.58
KOR,2017,AMR_INFECT_ECOLI,32.39
ETH,2023,AMR_INFECT_ECOLI,84.21
KHM,2019,AMR_INFECT_ECOLI,71.03
LAO,2021,AMR_INFECT_ECOLI,45.52
BFA,2023,AMR_INFECT_ECOLI,88.46
IND,2022,AMR_INFECT_ECOLI,77.53
ARE,2023,AMR_INFECT_ECOLI,50.95
PAK,2023,AMR_INFECT_ECOLI,85.13
IRQ,2023,AMR_INFECT_ECOLI,87.77
HRV,2017,AMR_INFECT_ECOLI,16.5
BRA,2019,AMR_INFECT_ECOLI,27.74
EST,2023,AMR_INFECT_ECOLI,12.01
GEO,2017,AMR_INFECT_ECOLI,47.06
MDA,2021,AMR_INFECT_ECOLI,81.82
MLI,2019,AMR_INFECT_ECOLI,39.74
RUS,2018,AMR_INFECT_ECOLI,66.67
FRA,2019,AMR_INFECT_ECOLI,9.07
TTO,2020,AMR_INFECT_ECOLI,26.32
IND,2021,AMR_INFECT_ECOLI,77.59
SWE,2018,AMR_INFECT_ECOLI,8.33
HRV,2021,AMR_INFECT_ECOLI,18.18
BHR,2022,AMR_INFECT_ECOLI,62.96
YEM,2023,AMR_INFECT_ECOLI,86.36
ETH,2020,AMR_INFECT_ECOLI,65.0
NGA,2020,AMR_INFECT_ECOLI,80.77
LBR,2020,AMR_INFECT_ECOLI,40.0
LTU,2020,AMR_INFECT_ECOLI,16.35
CZE,2018,AMR_INFECT_ECOLI,15.2
MYS,2019,AMR_INFECT_ECOLI,27.13
DEU,2022,AMR_INFECT_ECOLI,9.41
AUT,2022,AMR_INFECT_ECOLI,8.13
COL,2023,AMR_INFECT_ECOLI,28.61
POL,2023,AMR_INFECT_ECOLI,20.13
SWE,2022,AMR_INFECT_ECOLI,7.31
NPL,2019,AMR_INFECT_ECOLI,77.27
LTU,2022,AMR_INFECT_ECOLI,17.03
IND,2020,AMR_INFECT_ECOLI,86.81
QAT,2021,AMR_INFECT_ECOLI,42.28
PHL,2023,AMR_INFECT_ECOLI,35.76
LKA,2021,AMR_INFECT_ECOLI,57.02
BTN,2019,AMR_INFECT_ECOLI,56.78
UKR,2020,AMR_INFECT_ECOLI,50.0
IRL,2022,AMR_INFECT_ECOLI,10.51
AUT,2017,AMR_INFECT_ECOLI,9.6
ARG,2018,AMR_INFECT_ECOLI,20.0
ZAF,2019,AMR_INFECT_ECOLI,30.74
JPN,2018,AMR_INFECT_ECOLI,20.12
GHA,2020,AMR_INFECT_ECOLI,64.29
ARE,2022,AMR_INFECT_ECOLI,52.38
ARG,2017,AMR_INFECT_ECOLI,18.4
TLS,2020,AMR_INFECT_ECOLI,61.54
PAK,2022,AMR_INFECT_ECOLI,83.51
LUX,2023,AMR_INFECT_ECOLI,11.71
BFA,2020,AMR_INFECT_ECOLI,63.64
IRL,2018,AMR_INFECT_ECOLI,12.88
BEL,2023,AMR_INFECT_ECOLI,10.44
BEN,2023,AMR_INFECT_ECOLI,76.88
PAK,2017,AMR_INFECT_ECOLI,86.21
BTN,2020,AMR_INFECT_ECOLI,53.93
LAO,2023,AMR_INFECT_ECOLI,55.56
BRN,2022,AMR_INFECT_ECOLI,15.6
NLD,2022,AMR_INFECT_ECOLI,7.61
MUS,2020,AMR_INFECT_ECOLI,49.59
DNK,2021,AMR_INFECT_ECOLI,6.31
NLD,2021,AMR_INFECT_ECOLI,6.69
TUN,2018,AMR_INFECT_ECOLI,33.86
OMN,2017,AMR_INFECT_ECOLI,49.48
SDN,2018,AMR_INFECT_ECOLI,66.67
GBR,2017,AMR_INFECT_ECOLI,10.26
GBR,2020,AMR_INFECT_ECOLI,10.44
LVA,2022,AMR_INFECT_ECOLI,16.17
TUN,2020,AMR_INFECT_ECOLI,31.08
GEO,2020,AMR_INFECT_ECOLI,43.65
GLOBAL,2018,AMR_INFECT_ECOLI,36.0
BIH,2022,AMR_INFECT_ECOLI,26.81
LBY,2020,AMR_INFECT_ECOLI,61.54
TLS,2022,AMR_INFECT_ECOLI,50.0
AUT,2019,AMR_INFECT_ECOLI,9.06
TZA,2023,AMR_INFECT_ECOLI,70.15
KHM,2018,AMR_INFECT_ECOLI,72.8
MMR,2018,AMR_INFECT_ECOLI,84.91
MDV,2023,AMR_INFECT_ECOLI,70.37
IND,2017,AMR_INFECT_ECOLI,75.11
NOR,2021,AMR_INFECT_ECOLI,5.13
TZA,2022,AMR_INFECT_ECOLI,68.71
MDG,2018,AMR_INFECT_ECOLI,33.33
MOZ,2023,AMR_INFECT_ECOLI,40.0
BTN,2023,AMR_INFECT_ECOLI,80.56
ARE,2019,AMR_INFECT_ECOLI,46.08
